Word,Count
*,25
the,10
of,7
to,7
=,6
,6
for,4
this,4
a,4
screen,3
background,3
height,3
Menu,3
@param,3
in,3
and,3
method,2
it,2
want,2
i,2
else,2
song,2
dir,2
you,2
file,2
Songs,2
skin.defaultBG,2
folder,2
stores,2
SongList.sapp,2
from,2
into,2
-,2
Ephyxia,2
be,2
@author,2
GUIComponent,2
menu,2
main,2
ff,1
every,1
Loads,1
i++),1
Root,1
user,1
0;,1
metadata,1
},1
64,1
length;,1
as,1
states,1
{,1
any,1
directory,1
data,1
relation,1
\g.fillRoundRect(x,\,1
@return,1
\Music(songList.get(0)[0].getSong().getCanonicalPath(),\,1
create,1
songs.size();,1
preview.play();,1
object,1
able,1
button,1
mouse,1
load,1
basic,1
Helper,1
an,1
element,1
Button,1
\height,\,1
+,1
reading,1
Check,1
should,1
\width,\,1
retrieving,1
false);,1
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////,1
interact,1
i);,1
icons,1
effect,1
glow,1
add,1
\y,\,1
scan,1
info,1
Handles,1
new,1
<,1
this.length,1
complete,1
strings,1
update,1
with,1
skin,1
songs,1
ArrayList,1
672,1
preview,1
text,1
16);,1
all,1
(int,1
detection,1
.eph,1
butttons,1
parts,1
Adds,1
16,1
Put,1
1/6,1
Component,1
set,1
c,1
Does,1
\g.drawString(songs.get(i),\,1
\16,\,1
TODO:,1
app.setShowFPS(false);,1
